ID,Postal_Code,Locality,Type_of_property,Subtype_of_property,Price,Type_of_sale,Number_of_rooms,Living_Area,Fully_equipped_kitchen,Furnished,Open_fire,Terrace,Terrace_Area,Garden,Garden_Area,Surface_of_the_land,Number_of_facades,Swimming_pool,State_of_the_building,Surface_area_plot_land
20323533.0,3920.0,Lommel,HOUSE,VILLA,625000.0,Not specified,5.0,308.0,HYPER_EQUIPPED,2,0,1,0.0,1,0.0,2470.0,4.0,0,GOOD,2470.0
20323526.0,2930.0,Brasschaat,HOUSE,HOUSE,599000.0,Not specified,3.0,229.0,INSTALLED,2,0,1,0.0,1,0.0,525.0,4.0,0,AS_NEW,525.0
20323524.0,2220.0,Heist-op-den-Berg,APARTMENT,PENTHOUSE,375000.0,Not specified,2.0,141.0,INSTALLED,2,1,0,0.0,1,0.0,0.0,1.0,0,Does not specify,0.0
20323522.0,2500.0,Lier,HOUSE,HOUSE,369000.0,Not specified,3.0,158.0,INSTALLED,2,0,0,26.0,0,26.0,165.0,2.0,0,GOOD,165.0
20177718.0,6560.0,Erquelinnes,HOUSE,HOUSE,127000.0,Not specified,3.0,170.0,Does not specify,2,2,1,0.0,1,0.0,0.0,1.0,0,Does not specify,0.0
20323513.0,1300.0,Wavre,HOUSE,HOUSE,260000.0,Not specified,2.0,130.0,INSTALLED,2,1,1,0.0,1,0.0,509.0,3.0,0,TO_RENOVATE,509.0
20323510.0,3500.0,Hasselt,HOUSE,HOUSE,535000.0,Not specified,3.0,210.0,INSTALLED,2,1,0,0.0,1,0.0,978.0,4.0,0,GOOD,978.0
20323506.0,3500.0,Hasselt,APARTMENT,APARTMENT,255000.0,Not specified,3.0,130.0,SEMI_EQUIPPED,2,1,0,9.0,1,0.0,0.0,1.0,0,Does not specify,0.0
20323509.0,3500.0,Hasselt,HOUSE,TOWN_HOUSE,259000.0,Not specified,3.0,120.0,INSTALLED,2,1,0,0.0,1,0.0,193.0,2.0,0,GOOD,193.0
20323508.0,3500.0,Hasselt,APARTMENT,APARTMENT,130000.0,Not specified,1.0,50.0,INSTALLED,2,1,1,0.0,1,0.0,0.0,1.0,0,Does not specify,0.0
20323494.0,3500.0,Hasselt,HOUSE,MIXED_USE_BUILDING,299000.0,Not specified,3.0,236.0,Does not specify,2,2,1,0.0,1,0.0,0.0,1.0,0,Does not specify,0.0
20323492.0,3500.0,Hasselt,HOUSE,HOUSE,478000.0,Not specified,3.0,170.0,HYPER_EQUIPPED,2,1,0,0.0,1,0.0,456.0,3.0,0,GOOD,456.0
20323489.0,3500.0,Hasselt,HOUSE,HOUSE,595000.0,Not specified,2.0,175.0,USA_HYPER_EQUIPPED,2,0,1,0.0,1,0.0,260.0,2.0,0,JUST_RENOVATED,260.0
20323502.0,3500.0,Hasselt,HOUSE,HOUSE,395220.0,Not specified,3.0,140.0,INSTALLED,2,1,1,0.0,1,0.0,377.0,4.0,0,Does not specify,377.0
20323485.0,3500.0,Hasselt,HOUSE,HOUSE,289000.0,Not specified,3.0,207.0,INSTALLED,2,0,0,0.0,1,0.0,850.0,4.0,0,GOOD,850.0
20320728.0,4400.0,Flémalle,HOUSE,HOUSE,165000.0,Not specified,3.0,98.0,SEMI_EQUIPPED,2,1,0,16.0,1,0.0,0.0,3.0,0,TO_BE_DONE_UP,0.0
20321233.0,9600.0,Ronse,HOUSE,HOUSE,295000.0,Not specified,4.0,260.0,INSTALLED,2,1,0,0.0,1,0.0,485.0,2.0,0,GOOD,485.0
20319554.0,8531.0,Hulste,HOUSE,VILLA,420000.0,Not specified,4.0,180.0,Does not specify,2,2,1,0.0,1,0.0,0.0,1.0,0,Does not specify,0.0
20319538.0,8531.0,Hulste,HOUSE,HOUSE,420000.0,Not specified,4.0,180.0,Does not specify,2,2,1,0.0,1,0.0,0.0,1.0,0,Does not specify,0.0
20301110.0,2610.0,Wilrijk,HOUSE,TOWN_HOUSE,299000.0,Under_Option,3.0,156.0,Does not specify,2,1,1,0.0,0,48.0,150.0,2.0,0,TO_BE_DONE_UP,150.0
20302163.0,9230.0,Wetteren,HOUSE,VILLA,895000.0,Not specified,3.0,357.0,USA_HYPER_EQUIPPED,2,0,0,0.0,0,1089.0,1451.0,4.0,0,Does not specify,1451.0
20304627.0,8400.0,Oostende,APARTMENT,APARTMENT,650000.0,Not specified,2.0,223.0,Does not specify,2,1,1,0.0,1,0.0,0.0,1.0,0,Does not specify,0.0
20321448.0,8870.0,Izegem,APARTMENT,APARTMENT,238000.0,Not specified,2.0,86.0,HYPER_EQUIPPED,1,1,0,0.0,1,0.0,0.0,1.0,0,Does not specify,0.0
20320968.0,8301.0,Knokke-Heist,APARTMENT,APARTMENT,245000.0,Not specified,1.0,53.0,Does not specify,2,2,1,0.0,1,0.0,0.0,1.0,0,Does not specify,0.0
20322925.0,1050.0,Ixelles,APARTMENT,APARTMENT,295000.0,Not specified,1.0,51.0,USA_INSTALLED,1,1,1,0.0,1,0.0,0.0,1.0,0,Does not specify,0.0
20321168.0,3001.0,Heverlee,APARTMENT,APARTMENT,310000.0,Not specified,2.0,86.0,HYPER_EQUIPPED,1,1,1,0.0,1,0.0,0.0,1.0,0,Does not specify,0.0
20323304.0,1200.0,Woluwe-St-Lambert,APARTMENT,PENTHOUSE,550000.0,Not specified,4.0,133.0,HYPER_EQUIPPED,1,1,0,50.0,1,0.0,0.0,1.0,0,Does not specify,0.0
20295113.0,1180.0,Uccle,APARTMENT,APARTMENT,169000.0,Not specified,1.0,57.0,NOT_INSTALLED,1,1,0,6.0,1,0.0,0.0,1.0,0,Does not specify,0.0
20295110.0,1180.0,Uccle,APARTMENT,APARTMENT,169000.0,Not specified,1.0,57.0,NOT_INSTALLED,1,1,0,6.0,1,0.0,0.0,1.0,0,Does not specify,0.0
20323497.0,3500.0,Hasselt,HOUSE,HOUSE,289000.0,Not specified,3.0,162.0,SEMI_EQUIPPED,2,1,0,0.0,1,0.0,1214.0,4.0,0,TO_RENOVATE,1214.0
20323483.0,3500.0,Hasselt,HOUSE,HOUSE,359000.0,Not specified,3.0,145.0,INSTALLED,2,1,0,0.0,1,0.0,506.0,3.0,0,GOOD,506.0
20323481.0,3500.0,Hasselt,HOUSE,HOUSE,249000.0,Not specified,2.0,113.0,INSTALLED,2,1,1,0.0,1,0.0,100.0,2.0,0,TO_RENOVATE,100.0
20323484.0,3500.0,Hasselt,HOUSE,VILLA,520000.0,Not specified,4.0,312.0,INSTALLED,2,1,0,0.0,1,0.0,1174.0,4.0,0,GOOD,1174.0
20323486.0,3500.0,Hasselt,HOUSE,HOUSE,550000.0,Not specified,4.0,186.0,INSTALLED,2,1,0,0.0,1,0.0,1008.0,4.0,0,GOOD,1008.0
20323488.0,3500.0,Hasselt,APARTMENT,APARTMENT,250000.0,Not specified,3.0,136.0,INSTALLED,2,1,0,13.0,1,0.0,0.0,1.0,0,Does not specify,0.0
20323471.0,3500.0,Hasselt,HOUSE,HOUSE,299000.0,Not specified,3.0,236.0,Does not specify,2,2,1,0.0,1,0.0,0.0,1.0,0,Does not specify,0.0
20323501.0,3500.0,Hasselt,HOUSE,HOUSE,259000.0,Not specified,3.0,120.0,INSTALLED,2,1,0,0.0,1,0.0,193.0,2.0,0,GOOD,193.0
